Model,PSNR,SSIM,MS-SSIM,DINO,CLIP-T,CLIP-I,SigLIP-T,SigLIP-I,PickScore,ImageReward,HPS v2.1,SCR,ArcFace Distance
GLM,9.231270790100098,0.630752682685852,0.5412379503250122,0.5409813523292542,0.343017578125,0.7144469022750854,0.18090347945690155,0.7234793305397034,20.765816325233097,0.7121645212173462,0.2827066481113434,0.20062829554080963,0.8777295351028442
FLUX,11.066190719604492,0.7194917798042297,0.6215218901634216,0.6299682855606079,0.35693359375,0.7387834787368774,0.20837514102458954,0.7378734946250916,21.299801493447923,1.149946689605713,0.29703593254089355,0.20029762387275696,0.7983618378639221
gpt-image-1.5_high,10.465450286865234,0.715888261795044,0.5983353853225708,0.6627240180969238,0.3564453125,0.7488412857055664,0.20503661036491394,0.7526041269302368,20.871269120110405,1.0351227521896362,0.2826468348503113,0.12447090446949005,0.645336925983429
seedream4.5,9.319034576416016,0.7354147434234619,0.6358180642127991,0.6383506059646606,0.35986328125,0.7356480360031128,0.20360727608203888,0.745280921459198,21.113883574046785,1.1637824773788452,0.29791244864463806,0.14361771941184998,0.45474696159362793
