metrics_model_name,size,mode,seen_pairwise_accuracy_v10,unseen_pairwise_accuracy_v13,unseen_minus_seen
qwen35_2b_layer_only,2b,layer_only,0.9787384833451452,0.7582272926722247,-0.22051119067292058
qwen35_2b_lora_layer,2b,lora_layer,0.9829907866761163,0.8538832821412901,-0.12910750453482622
qwen35_08b_layer_only,08b,layer_only,0.9844082211197732,0.7836770513383062,-0.200731169781467
qwen35_08b_lora_layer,08b,lora_layer,0.9865343727852587,0.7801667397981571,-0.2063676329871016
