mode,from_size,to_size,pairwise_accuracy_delta,pairwise_accuracy_v10_delta,pairwise_accuracy_v13_delta,macro_f1_delta
layer_only,08b,2b,-0.01788617886178856,-0.005669737774627981,-0.025449758666081568,0.060990337535024586
layer_only,2b,4b,0.0327913279132791,0.004252303330971041,0.05046072838964455,0.08881800892020064
lora_layer,08b,2b,0.044173441734417285,-0.003543586109142405,0.07371654234313296,0.04879468212457705
lora_layer,2b,4b,0.018428184281842896,-0.0007087172218285254,0.030276437033786685,0.01676041872477574
