Occlusion/Interaction,Model,PSNR,SSIM,MS-SSIM,DINO,CLIP-T,CLIP-I,SigLIP-T,SigLIP-I,PickScore,ImageReward,HPS v2.1,ArcFace Distance
NoInteract_NoOccl,FLUX,10.495568805649167,0.7130385266883033,0.598150421608062,0.6365710206684612,0.36601475306919645,0.7411900111607143,0.22061735952184314,0.7370175588698614,21.20444982165382,1.2276033384193268,0.29628147053576653,0.8227830773824221
NoInteract_NoOccl,GLM,8.997034257650375,0.6249877401228462,0.5332803080834093,0.5430340528488159,0.35242803664434524,0.7163004557291667,0.19028064123399202,0.7238434321823575,20.68844455537342,0.7659291152678807,0.2813021465781189,0.8762955535541881
NoInteract_NoOccl,gpt-image-1.5_high,9.868963873954046,0.7209854783046813,0.588741897898061,0.6639135970246224,0.36831926618303573,0.7511637369791667,0.21840597619967803,0.7506946102494285,20.668860194796608,1.0979181087054757,0.27506816720678695,0.7041832561616773
NoInteract_NoOccl,seedream4.5,8.859448583920797,0.7323897385881061,0.6208154305106117,0.648114374989555,0.3724551246279762,0.7397972470238096,0.21399529712895551,0.7477146774530411,21.059159110841296,1.317337895641547,0.29948766231536866,0.524079071701347
Occl_Interact,FLUX,10.576568928219023,0.703885736635753,0.598638685473374,0.5842477831102553,0.35006917317708336,0.7253452845982142,0.20568724821011225,0.7264157749357678,21.243362531207858,1.1213966619799889,0.29613599323091055,0.8301972143061749
Occl_Interact,GLM,8.579912055674054,0.5837727990178835,0.4949063144269444,0.50695768215117,0.3373317173549107,0.7022123790922619,0.1719033381679938,0.7145872429722832,20.787068535032727,0.713240247176561,0.282644129970244,0.8849523770344722
Occl_Interact,gpt-image-1.5_high,9.886466016088214,0.6999054905914125,0.5765381296475728,0.6061088517663025,0.34998866489955355,0.7363746279761905,0.2041332350068149,0.74033905622505,20.862336608341764,0.9768749727629169,0.2791347025405793,0.6810128250679413
Occl_Interact,seedream4.5,8.991701237360637,0.7260198815947487,0.6281313627248719,0.5941658872578826,0.35343133835565477,0.7222551618303571,0.2017105995012181,0.7361153677815483,21.085772246406194,1.1419798208500391,0.29665848949835416,0.47215042749008573
Occl_NoInteract,FLUX,12.126435092517308,0.7415510272695904,0.6677764997595832,0.6690861599076362,0.3548243931361607,0.7498151506696429,0.1988208279545818,0.7501871141649428,21.451592127482098,1.1008402287560914,0.2986903256958439,0.7421050977397274
Occl_NoInteract,GLM,10.11686638139543,0.6834975807439714,0.5955273262092046,0.5729521929862953,0.3396577380952381,0.7248279389880953,0.1805264329449052,0.7320074752682731,20.821935885293144,0.6573241969969655,0.28417374317844707,0.8719405822939686
Occl_NoInteract,gpt-image-1.5_high,11.640922900608608,0.7267737770364397,0.6297262448640096,0.7181495192505064,0.3510678245907738,0.7589855375744048,0.1925706308157671,0.7667786791211083,21.082610557192847,1.0305750276768646,0.29373763302961986,0.5508145973279879
Occl_NoInteract,seedream4.5,10.105954532396225,0.7478345692157745,0.6585073314961933,0.6727715474509057,0.35393880208333334,0.7448916480654761,0.19511594134604648,0.7520126765682584,21.196719364892868,1.0320300217629188,0.2975911598829996,0.36801139859410076
