Subject Count,Model,PSNR,SSIM,MS-SSIM,DINO,CLIP-T,CLIP-I,SigLIP-T,SigLIP-I,PickScore,ImageReward,HPS v2.1,ArcFace Distance
2,FLUX,13.423800725785513,0.7852466772473048,0.7247436665353321,0.7693522158123198,0.31968625992063493,0.827503410218254,0.1755432949889274,0.822150220757439,21.386812543112136,1.2999270833733063,0.2871718915208938,0.7461459659394764
2,GLM,9.307511609319656,0.6386980847470344,0.5818184232427961,0.6818299576403603,0.3154292999751984,0.7850291418650793,0.15989940405365022,0.7867392398062206,20.918470001220705,1.140043871189719,0.28300354840263486,0.8389084424291339
2,gpt-image-1.5_high,12.922811102488684,0.7991336411899991,0.7163374520483471,0.7902703139517042,0.3205953931051587,0.842813740079365,0.17373976057010984,0.8403024779425727,21.166586200774663,1.2696396709597182,0.28261396605817096,0.5613385583673205
2,seedream4.5,11.339588837396532,0.7996209010245308,0.7306730735869634,0.7594961338573032,0.3210518973214286,0.8219401041666666,0.17121240862068676,0.8274716078288972,21.293197244311134,1.3579631119434323,0.2905561447143555,0.38865008325803846
4,FLUX,10.88876314011831,0.7268172033249386,0.6295465979311201,0.6344971786415766,0.3620318700396825,0.7334573412698413,0.21949090751863662,0.7288065793022277,21.62892166016594,1.4149789847226606,0.3032127275353386,0.7848291300591969
4,GLM,9.383720581115238,0.6271387231255334,0.5432644913120875,0.5369548705835191,0.34605267237103177,0.7100306919642857,0.18642601390916202,0.718833163238707,20.982974606468563,0.9436590746074679,0.2858733103388832,0.879271706323775
4,gpt-image-1.5_high,9.893338630312964,0.7087751205005343,0.5870398340717194,0.6738453648393117,0.36486738901289684,0.7407009548611111,0.21858361278261457,0.7438181850645277,21.16258794390966,1.2772208138583376,0.2884228503893292,0.5992889203722515
4,seedream4.5,9.1534179929703,0.7416899035847376,0.6459444267409188,0.6427387472182985,0.36520182291666664,0.7353779141865079,0.21449404900509214,0.7373717035566058,21.423021310473246,1.3578754161558455,0.301947065052532,0.4344748655954997
6,FLUX,10.106419458843412,0.6908935068145631,0.576334448939278,0.5784244714275238,0.3730988033234127,0.7022584945436507,0.22016537026280447,0.7039694394384112,21.28633647494846,1.0313705144006582,0.3005708906858686,0.8152748465538024
6,GLM,9.096334042624822,0.6272313586776219,0.5237632045670161,0.4907559105801204,0.35795162140376985,0.686390128968254,0.19075076642727096,0.6950210452079773,20.793234010726685,0.5307006107791076,0.2841417708094158,0.8888512376755003
6,gpt-image-1.5_high,9.51532772306412,0.6801593629140702,0.5470808314898657,0.6112379091599631,0.3731236049107143,0.7090184771825396,0.21781556303538974,0.7155578705999587,20.7727354079958,0.9298632174331163,0.2829769563580316,0.6780363985470363
6,seedream4.5,8.448925183311342,0.7044631418727693,0.5944683938745469,0.594890811802849,0.3766973586309524,0.6991443452380952,0.21650355557600656,0.7118859347842988,21.07080303373791,1.0868464244440907,0.3008188394327012,0.4747770288633922
8,FLUX,9.84578044376676,0.675009666738056,0.5554627623822954,0.5375994190337166,0.37306082589285716,0.6919146825396826,0.21830100814501444,0.6965676911293515,20.897135295565167,0.8535103897105843,0.29718820954126024,0.8297919665064131
8,GLM,9.137517359900096,0.6299426599627449,0.516105812504178,0.4543844985110419,0.35312306237599206,0.6763377356150794,0.1865376987391048,0.6933240856443132,20.36858668251643,0.23425452267891536,0.2778080634181462,0.8909462767934042
8,gpt-image-1.5_high,9.530326265002055,0.6754848699721079,0.5428835789362589,0.5755423694375962,0.3672479538690476,0.70283203125,0.2100075196415659,0.7107379271870568,20.3831669277615,0.6637671099425042,0.2765735642304496,0.7146842492951287
8,seedream4.5,8.334207124558706,0.6958849727161347,0.5721862721064734,0.5562767200526737,0.3768159412202381,0.6861297123015873,0.21221910409984135,0.7043943829006619,20.668512707664853,0.8524453651293048,0.29832769972937445,0.4990535917736235
