metrics_model_name,size,mode,rows,evaluated_pairs,pairwise_accuracy,pairwise_accuracy_v10,pairwise_accuracy_v13,macro_precision,macro_f1,macro_accuracy,correct_side_win_prob_mean
qwen35_08b_layer_only,08b,layer_only,8040,3690,0.8604336043360433,0.9844082211197732,0.7836770513383062,0.7673616966493039,0.6246950593512863,0.780947215929678,0.5742467556535865
qwen35_08b_lora_layer,08b,lora_layer,8040,3690,0.8590785907859079,0.9865343727852587,0.7801667397981571,0.7697414637926548,0.7526623916213729,0.8307413861647454,0.6051435916528756
qwen35_2b_layer_only,2b,layer_only,8040,3690,0.8425474254742548,0.9787384833451452,0.7582272926722247,0.729978876164446,0.6856853968863109,0.7939442523090127,0.5936822598573979
qwen35_2b_lora_layer,2b,lora_layer,8040,3690,0.9032520325203252,0.9829907866761163,0.8538832821412901,0.7825862179255264,0.80145707374595,0.8527536544340513,0.7233201944866764
qwen35_4b_layer_only,4b,layer_only,8040,3690,0.8753387533875339,0.9829907866761163,0.8086880210618692,0.7294327046052432,0.7745034058065116,0.8242119941970688,0.6200628381931825
qwen35_4b_lora_layer,4b,lora_layer,8040,3690,0.921680216802168,0.9822820694542878,0.8841597191750767,0.7996103146630423,0.8182174924707257,0.8666694653128816,0.7345243188068188
